Skip,Rederi,Location,Type skip,Type opplag,Bilde,Flagg,Dato inn,Dato ut,Rederi Valgbokser,Sist oppdatert
Havila Borg,,"62.30022, 5.652407",PSV,Ut av opplag,http://img1.maritime.no/wp-content/uploads/2016/11/22124621/Havila-Borg.jpg,NIS,2016-11-22,2017-04-10,Havila,2017-04-10
Skandi Neptune,,"60.08927, 5.216804",Subsea,I opplag,http://img1.maritime.no/wp-content/uploads/2017/04/10161445/Skandi-Neptune.jpg,NIS,2016-11-17,,DOF,2017-04-09
Olympic Promoter,,"62.47372, 6.347798",PSV,I opplag,http://img1.maritime.no/wp-content/uploads/2017/03/17172752/Olympicpromoteropplag1-liten-alesund.jpeg,Bahamas,2017-03-03,,Olympic,2017-04-10
Olympic Challenger,,"58.34641, 11.89917",Subsea,Ut av opplag,http://img1.maritime.no/wp-content/uploads/2016/11/24193132/olympic-challenger.jpg,Bahamas,2016-11-10,2017-04-04,Olympic,2017-04-12
Normand Clipper,,"59.30283, 5.375758",Subsea,I opplag men på kontrakt,http://img1.maritime.no/wp-content/uploads/2016/11/21133717/Normand-Clipper.jpg,NIS,2016-11-21,,Solstad,2017-01-18
Bourbon Front,," 42.23136, -8.736267",PSV,Ut av opplag,http://img1.maritime.no/wp-content/uploads/2016/10/24112052/Bourbon-Front.jpg,Bahamas,2016-10-13,2017-04-05,Bourbon,2016-10-24
Normand Cutter,,"59.30318, 5.375572",Subsea,Varslet ut av opplag,http://img1.maritime.no/wp-content/uploads/2016/11/21133055/Normand-Cutter.jpg,NIS,2016-11-16,2017-04-18,Solstad,2017-04-18
Freyja Viking,Viking Supply Ships,"58.34636, 11.89435",PSV,I opplag,http://img1.maritime.no/wp-content/uploads/2016/03/14090706/Freyja_Viking.jpg,NIS,2016-03-13,,Viking Supply,
Ocean King,Atlantic Offshore,"60.23752, 5.04883",Flerbruksskip,Solgt fra opplag,http://img1.maritime.no/wp-content/uploads/2016/08/29130340/Ocean_-FIFI-800x450.jpg,NOR,2016-08-26,2017-04-24,Atlantic Offshore,2017-04-24
Olympic Commander (tidl. Canyon),,"62.47415, 6.345718",Flerbruksskip,Ut av opplag,http://img1.maritime.no/wp-content/uploads/2016/09/26111140/Olympic-Canyon.jpg,NIS,2016-08-12,2017-04-22,Olympic,2017-04-24
IES Energy,,"62.22121, 5.645232",Flerbruksskip,I opplag,http://img1.sysla.no/wp-content/uploads/2017/04/11143841/kleven.jpg,Marshalløyene,2017-01-04,,,2017-04-23
