 , , ,Key information,,,,,Investments,,,Frame agreement,,,,,,Field development,,,,Subsea development,,,,,,,,, Drilling wells,,,Remaining oil and gas reserves,,,,Total reserves estimate,,,,Export technology,,,Destination,,,Helicopter,,,Supply base,Statistics,,,,,,,,, ,, , , , , , , ,Extra,TEMP_Top reservoir depth, , 
Field name,Activity status,Operator,Discovery,On stream,Prod. license,"Location (NS, NOS, BS)",Water depth (m),Total,So far in 2010,Remaining inv.,M&M,M&M contract expires,ISO,ISO contract expires,Drilling and well,Drilling and well contract expires,Production vessel/structure,Production/Drilling/Quarters,Material,Additional info,Subsea company,Subsea template,Total trees,FMC,AKS,GE,CAM,Subsea tieback,Tieback distance (km),Exploration,Development,Top reservoir depth,Oil (Sm3),Oil barrels (bbl),At current oil price,Gas (Sm3),Oil (Sm3),Gas (Sm3),Condensate (Sm3),NGL (mt),Oil,Gas,Condensate,Oil,Gas,Condensate,Flight service,Flight base,Offshore based,Supply base,Top water depth,Top investments,Top remaining investments,Top oil discovery,Top gas discovery,Top remaining oil reserves,Top remaining gas reserves,Top remaining condensate reserves,Top remaining NGL reserves,Field information,Captionimage,Imagebase,Source,NPDID owner,NPDID field,NPDID wellbore,NPDID company,Lastupdated,Investment details,From,Last Edited,Created On
RINGHORNE ØST,PRODUCING,ExxonMobil,2003,2006,RINGHORNE ØST UNIT,NS (M),130,"1,915,200,000","804,212,000","1,110,988,000",,,,,KCA Deutag,,Fixed platform,PDQ,Steel,,,,0,,,,,Balder,9,1,10,"1,940","6,300,000","39,627,000","4,557,105,000","100,000,000","15,500,000","400,000,000",0,0,Pipeline (Jotun),Pipeline (Jotun),,,,,HSL,Sola,,,65,107,59,45,103,43,84,24,79,"Ringhorne Øst er et oljefelt like nordøst for Balder, i den midtre delen av Nordsjøen. Feltet produserer gjennom tre produksjonsbrønner fra Ringhorneinn­retningen på Balderfeltet.",Fixed platform,"Ringhorne Ost-1.jpg, Ringhorne Ost-2.jpg, Ringhorne Ost-3.jpg",http://www.exxonmobil.com/Norway-English/PA/Files/AarsBrosjyre2011_en.pdf,3505593,3505505,4805,2835212,,,,4/19/2013 10:18:25,6/8/2012 18:47:57
SIGYN,PRODUCING,ExxonMobil,1982,2002,72,NS (M),70,"2,520,000,000","2,450,309,000","69,691,000",,,,,,,Subsea template,,Steel,Subsea satelite,,,3,3,,,,Sleipner A,12,2,3,"2,700",0,0,0,"700,000,000",0,"6,900,000,000","6,400,000","2,600,000",-,Pipeline,Pipeline,-,Kårstø,Kårstø,,,,Dusavik,123,102,92,114,56,100,68,6,25,"Sigyn ligger i Sleipnerområdet i den midtre delen av Nord­sjøen. Til feltet hører forekomstene Sigyn Vest, som inneholder gass og kondensat, og Sigyn Øst, som inne­holder lettolje. Feltet er bygget ut med en havbunnramme som en satellitt til Sleipner Øst",Subsea template,Sigyn-1.jpg,http://www.exxonmobil.com/Norway-English/PA/Files/AarsBrosjyre2011_en.pdf,21372,1630100,91,2835212,,,,6/8/2012 18:48:03,6/8/2012 18:47:57
SKARV,PRODUCING,BP Norge,1998,2013,SKARV UNIT,NOS,450,"45,955,846,000","38,512,774,000","7,443,072,000",Aker Solutions,2014,BIS Industrier,2014,,,FPSO,PQ,Steel,,GE Oil & Gas ,5,18,,,18,,Skarv FPSO,13,10,19,"3,700","15,500,000","97,495,000","11,211,925,000","43,400,000,000","15,500,000","43,400,000,000",0,"5,600,000",Oil tanker,Pipeline,,,,,Bristow,Brønnøysund,,Asco Norge AS,3,14,27,45,18,25,9,24,16,"Skarvfeltet er lokalisert på Haltenbanken terrassen. Anlegget består av en forankret FPSO med tandem oljelasting til en skytteltanker, og gasseksport gjennom Åsgard Transportation System (ÅTS) gassrørledning til Kårstø landterminal, ved bruk av et undervanns-arrangement med brønner, brønnrammer og strømningsrør. Produksjonsstart på Skarv var 2. Januar 2013, mer enn et år forsinket.",FPSO,"Skarv-1.jpg, Skarv-2.jpg, Skarv-3.jpg",,4468539,4704482,3683,2052695,,,"3,300",10/17/2013 8:00:28,6/8/2012 18:47:57
SKIRNE,PRODUCING,Total E&P Norge,1990,2004,102,NS (M),120,"3,225,600,000","3,086,149,000","139,451,000",,,,,,,Subsea template,,Steel,,FMC,2,2,2,,,,Heimdal,20,2,3,"2,900","500,000","3,145,000","361,675,000","1,300,000,000","2,200,000","10,200,000,000",0,0,Pipeline,Pipeline,,,Kårstø/Emden,Brae(GB),,,,Sola,73,92,83,93,43,91,57,24,79,"Skirne, som inkluderer Byggveforekomsten, inneholder gass og kondensat og ligger øst for Heimdal, i den midtre delen av Nord­sjøen. Feltet er bygget ut med to brønnrammer på havbunnen og er knyttet til Heimdal med en rørleidning.",Subsea template,Skirne-1.jpg,,21620,2138816,1488,2410708,,,"2,370",6/8/2012 18:48:03,6/8/2012 18:47:57
SKULD,PRODUCING,Statoil,2008,2013,128,NOS,340,"10,080,000,000","1,445,472,000","8,634,528,000",,,,,,,Subsea template,,Steel,,Aker Solutions,,11,,11,,,Norne FPSO,25,3,10,"2,600","13,400,000","84,286,000","9,692,890,000","600,000,000","13,400,000","600,000,000",0,"100,000",Oil tanker,Pipeline,,,Kårstø,,,,,,28,54,22,49,99,29,70,24,73,"Skuld er en hurtigutbygging tilknyttet Norne-feltet i Norskehavet. Feltet omfatter to oljeforekomster, 6608/10-12 (Dompap) og 6608/10- 14 S (Fossekall), som ligger respektive 26 km og 16 km nord for Norne-skipet. Feltet er knyttet opp mot produksjonsskipet Norne. Oppstart av produksjon fra feltet startet Mars 2013.",Subsea template,Skuld-1.jpg,,21836,21350124,5949,17237817,,,"2,400",8/30/2013 7:31:41,6/8/2012 18:47:57
SLEIPNER ØST,PRODUCING,Statoil,1981,1993,SLEIPNER ØST UNIT,NS (M),82,"40,924,800,000","38,718,933,000","2,205,867,000",Fabricom,2014,BIS Industrier,,Odfjell Drilling,2016,Fixed platform,PDQ,Concrete,Riser,,2,0,,,,,,,6,34,"2,300",0,0,0,"1,500,000,000",0,"67,800,000,000","27,000,000","13,500,000",,Pipeline,Pipeline,,Zeebrugge,Kårstø,BSH,Sola,,Dusavik,112,17,52,114,11,100,55,2,5,"Sleipner Øst er et gasskondensatfelt som ligger i den midtre delen av Nordsjøen. Feltet er bygget ut med en integrert prosess­, bore­ og bostedinnretning med understell av betong, Sleipner A. I tillegg er det installert en stigerørinnretning, Sleipner R, som knyter Sleipner A til rørledningene for gasstransport, og et fak­lingstårn, Sleipner F. Det er også installert to havbunnrammer, en for pro­duksjon fra den nordlege delen av Sleipner Øst og en for produksjon av Lokeforekomsten. Vidare er feltene Sigyn og Gungne knyttet til Sleipner A.",Fixed platform,"SleipnerOst-1.jpg, SleipnerOst-2.jpg, SleipnerOst-3.jpg",,41211,43478,328,17237817,,,,6/8/2012 18:48:03,6/8/2012 18:47:57
SLEIPNER VEST,PRODUCING,Statoil,1974,1996,SLEIPNER VEST UNIT,NS (M),110,"30,441,600,000","29,527,349,000","914,251,000",Fabricom,2014,BIS Industrier,,,,Fixed platform,D,Steel,Remotely op. from Sleipner A,,,8,8,,,,Sleipner Øst,12,14,32,"3,450",0,0,0,"19,800,000,000",0,"133,300,000,000","32,900,000","9,500,000",,Pipeline,,,,Kårstø,BSH,Sola,,Dusavik,90,26,62,114,6,100,18,1,9,"Sleipner Vest er et gassfelt i den midtre delen av Nord­sjøen. Feltet er bygget ut med en brønn­hodeinnretning, Sleipner B, som er fjernstyrt fra Sleipner A-­innret­ningen på Sleipner Øst­-feltet, og en prosessinnretning, Sleipner T, som er knyttet sammen med Sleipner A med en gangbro. Alfa Nord-­segmentet ble bygget ut i 2004 med en havbunnramme som er knyttet til Sleipner T gjen­nom en 18 km lang rørledning.",Fixed platform,"SleipnerVest-1.jpg, SleipnerVest-2.jpg, SleipnerVest-3.jpg",,40848,43457,318,17237817,,,,4/19/2013 10:20:40,6/8/2012 18:47:57
SNØHVIT,PRODUCING,Statoil,1984,2007,SNØHVIT UNIT,BS,340,"25,502,400,000","9,403,376,000","16,099,024,000",Aibel,2016,BIS Industrier,2013,,,Subsea template,,Steel,,GE Oil & Gas ,,11,,,11,,,160,15,10,"2,300",0,0,0,"156,900,000,000",0,"176,700,000,000","22,600,000","6,400,000",,Pipeline,Pipeline,,,,,,,Polarbase AS,28,33,16,114,4,100,3,3,13,"Snøhvit ligger i Barentshavet, i den sentrale delen av Ham­merfestbassenget. Snøhvit er et gassfelt med kondensat og en underliggende tynn oljesone. Snøhvitfeltet omfat­ter flere funn og forekomster i Askeladd-­ og Albatross­strukturene i tillegg til Snøhvit.",Subsea template,"Snohvit-1.jpg, Snohvit-2.jpg, Snohvit-3.jpg",,1333943,2053062,135,17237817,,,,1/10/2014 9:12:59,6/8/2012 18:47:57
SNORRE,PRODUCING,Statoil,1979,1992,SNORRE UNIT,NS (N),350,"132,249,600,000","84,476,810,000","47,772,790,000",Aker Solutions,2016,BIS Industrier,,Odfjell Drilling,2016,Tension leg platform (TLP),PDQ,Steel,Semi-submersible - PDQ (Snorre B),FMC/GE Oil & Gas ,4,48,10,,28,10,,,13,112,"2,700","64,100,000","403,189,000","46,366,735,000","300,000,000","249,900,000","6,600,000,000",0,"4,700,000",Pipeline,Pipeline,,,Kårstø,,HSL,Florø,,Saga fjordbase(Florø),24,5,1,7,59,3,77,24,18,"Snorre er et oljefelt som ligger i Tampenområdet i den nordlege delen av Nordsjøen. Snorre A i sør er en flytende stålinnretning (TLP) med bosted-­, bore-­ og prosess­anlegg. Snorre A har også et eget prosessanlegg for produksjonen fra Vigdisfeltet. På den nordlige delen av feltet ligger Snorre B som er en halvt nedsenkbar integrert bore-­, prosess-­ og bostedinnretning.",Tension leg platform (TLP),"SnorreA-1.jpg, SnorreB-2.jpg, SnorreTLP-3.jpg",,40906,43718,422,17237817,,,"2,000",11/25/2013 8:37:45,6/8/2012 18:47:57
STATFJORD,PRODUCING,Statoil,1974,1979,STATFJORD UNIT,NS (N),150,"143,136,000,000","134,567,855,000","8,568,145,000",Aibel,2016,Beerenberg,,Archer,2016,Fixed platform,PDQ,Concrete,"Statfjord A, B, C",,,0,,,,,,,11,320,"3,000","4,300,000","27,047,000","3,110,405,000","11,400,000,000","570,400,000","77,400,000,000","1,100,000","23,000,000",Oil tanker,Pipeline,,,GB,,HSL/BSH,Flesland,HSL,Sotra & Saga fjordbase(Florø),61,4,23,1,10,54,24,13,3,"Statfjord er et oljefelt som ligger på begge sider av grense­linjen mellom norsk og britisk kontinentalsokkel i Tampenområdet. Feltet er bygget ut med tre fullt integrerte innretninger; Statfjord A, Statfjord B og Statfjord C. Statfjord A er plas­sert sentralt på feltet, og kom i produksjon i 1979. Statfjord B er plas­sert på den sørlige delen av feltet, og kom i produksjon i 1982. Statfjord C er plassert på den nordlege delen av feltet, og kom i produksjon i 1985. Statfjord B og Statfjord C har lik konstruksjon. Satellittfeltene til Statfjord (Statfjord Øst, Statfjord Nord og Sygna) har en egen inn­løpsseparator på Statfjord C.",Fixed platform concrete,"StatfjordA-1.jpg, StatfjordB-2.jpg, StatfjordC-3.jpg",,41686,43658,417,17237817,,,"2,500",11/25/2013 8:37:51,6/8/2012 18:47:57
STATFJORD NORD,PRODUCING,Statoil,1977,1995,37,NS (N),290,"8,265,600,000","7,897,158,000","368,442,000",Aibel,2016,Beerenberg,,Archer,2016,Subsea template,,Steel,,,3,28,28,,,,Statfjord C,22,3,14,"2,600","3,000,000","18,870,000","2,170,050,000",0,"39,500,000","2,100,000,000",0,"1,100,000",Pipeline,Pipeline,,*Statfjord C,*Statfjord C,,,,,Coast Center Base(Sotra),41,61,73,23,77,63,94,24,42,"Statfjord Nord er et oljefelt som ligger omtrent 17 km nord for Statfjord i Tampenområdet. Feltet er bygget ut med tre brønnrammer knyttet til Statfjord C. To av brønnram­mene er for produksjon, og en er for vanninjeksjon. ",Subsea template,StatfjordNord-2.jpg,,21084,43679,413,17237817,,,,11/25/2013 8:37:52,6/8/2012 18:47:57
STATFJORD ØST,PRODUCING,Statoil,1976,1994,STATFJORD ØST UNIT,NS (N),190,"8,164,800,000","7,966,274,000","198,526,000",Aibel,2016,Beerenberg,,Archer,2016,Subsea template,,Steel,,,3,0,,,,,Statfjord C,22,3,17,"2,400","700,000","4,403,000","506,345,000","100,000,000","36,800,000","4,000,000,000",0,"2,100,000",Pipeline,Pipeline,,*Statfjord C,*Statfjord C,,,,,Coast Center Base(Sotra),54,62,79,25,68,85,84,24,29,"Statfjord Øst er et oljefelt som ligger omtrent 7 km nordøst for Statfjordfeltet i Tampenområdet. Feltet er bygget ut med tre brønnrammer som er knyttet til Statfjord C. To av brønnrammene er for produksjon, og en er for vanninjeksjon. I tillegg er det boret en produksjonsbrønn fra Statfjord C.",Subsea template,StatfjordOst-1.jpg,,41233,43672,412,17237817,,,,11/25/2013 8:37:54,6/8/2012 18:47:57
STJERNE,PRODUCING,Statoil,2009,2013,104,NS (N),104,"5,342,400,000",0,"5,342,400,000",,,,,,,Subsea template,,Steel,,,,0,,,,,Oseberg Sør,13,,,"2,800",0,0,0,0,0,0,0,0,,,,,,,,,,,99,72,33,114,114,100,94,24,79,Stjerne(tidligere Katla) er et olje- og gassfunn som ligger i den nordlige delen av Nordsjøen. Stjerne er bygget ut med en havbunnsramme med fire brønner knyttet til Oseberg Sør. Produksjonsstart på Stjerne var Mars 2013,Subsea template,,,,,,,,,,4/24/2013 13:45:54,6/8/2012 18:47:57
SYGNA,PRODUCING,Statoil,1996,2000,SYGNA UNIT,NS (N),300,"2,520,000,000","2,456,410,000","63,590,000",,,,,,,Subsea template,,Steel,,,1,0,,,,,Statfjord C,22,2,4,"2,650","1,100,000","6,919,000","795,685,000",0,"11,000,000",0,0,0,Pipeline,,,*Statfjord C,,,,,,Florø,35,102,94,56,114,77,94,24,79,Oljefeltet Sygna ligger i Tampenområdet rett nord for Stat­fjord Nord. Feltet er bygget ut med en havbunn­ramme med fire brønnslisser som er koblet til Statfjord C.,Subsea template,"Sygna-1.jpg, Sygna-2.jpg",,96205,104718,2830,17237817,,,,6/8/2012 18:48:03,6/8/2012 18:47:57
TAMBAR,PRODUCING,BP Norge,1983,2001,65,NS (S),68,"2,721,600,000","2,602,390,000","119,210,000",Aker Solutions,2014,BIS Industrier,2014,Archer,2013,Fixed platform,D,Steel,Remotely operated from Ula,,,0,,,,,Ula,16,2,3,"4,200","600,000","3,774,000","434,010,000",0,"9,500,000","2,000,000,000",0,"500,000",Pipeline,Pipeline,,Teesside,*Ulafeltet,,,,,Tananger,133,99,85,58,78,87,94,24,55,Tambar er et oljefelt som ligger sørøst for Ulafeltet i den sørlege delen av Nordsjøen. Feltet er bygget ut med en fjernstyrt brønnhodeinnretning uten prosesseringsanlegg.,Fixed platform,"Tambar-1.jpg, Tambar-2.jpg, Tambar-3.jpg",,21316,1028599,87,2052695,,,"4,100",6/8/2012 18:48:03,6/8/2012 18:47:57
TAMBAR ØST,PRODUCING,BP Norge,2007,2007,TAMBAR ØST UNIT,NS (S),,"1,209,600,000","1,139,112,000","70,488,000",Aker Solutions,2014,BIS Industrier,2014,,,Subsea template,,,,,,0,,,,,Ula,16,,2,"4,200",0,0,0,0,"300,000",0,0,0,Pipeline,,,Teesside,,,,,,Tananger,NA,110,91,109,114,100,94,24,79,Tambar Øst er bygget ut med en produksjonsbrønn som er boret fra Tambarinnretningen,Subsea template,,,4999504,4999528,5485,2052695,,,"4,050",4/19/2013 10:25:04,6/8/2012 18:47:57
TOR,PRODUCING,ConocoPhillips,1970,1978,TOR UNIT,NS (S),70,"9,979,200,000","9,587,144,000","392,056,000",Aibel + Aker Solutions,2016/2015,,,Archer,2015,Fixed platform,PDQ,Steel,,,,0,,,,,,,4,22,"3,200","400,000","2,516,000","289,340,000","100,000,000","24,300,000","10,900,000,000",0,"1,200,000",Pipeline,Pipeline,,Tesside,Emden,,,,,Tananger,123,55,72,35,42,92,84,24,40,Tor er et oljefelt i Ekofiskområdet i den sørlege delen av Nordsjøen. Feltet er bygget ut med en kom­binert brønnhode-­ og prosessinnretning som er knytt til Ekofiskfeltet.,Fixed platform,"Tor-1.jpg, Tor-2.jpg",,45891,43520,178,2410696,,,,6/8/2012 18:48:03,6/8/2012 18:47:57
TORDIS,PRODUCING,Statoil,1987,1994,89,NS (N),200,"15,523,200,000","14,972,368,000","550,832,000",,,,,,,Subsea template,,Steel,,GE Oil & Gas ,2,12,1,,11,,Gullfaks C,10,11,26,"2,500","6,000,000","37,740,000","4,340,100,000","400,000,000","61,200,000","4,600,000,000",0,"1,800,000",Oil tanker,Pipeline,,,Kårstø,,,,,Saga fjordbase(Florø),53,48,68,18,64,45,76,24,32,"Tordis er et oljefelt som ligger mellom feltene Snorre og Gullfaks i Tampenområdet, i den nordlege delen av Nordsjøen. Feltet er bygget ut med en sentral havbunnmanifold som er knyttet til Gullfaks C. Til denne manifolden er det knyttet syv separate satellittbrønner og to havbunnrammer. I tillegg ble det i 2007 installert ein havbunnseparator på feltet. Vann til injeksjon kommer gjennom en rør­ledning fra Gullfaks C",Subsea template,"Tordis-1.jpg, Tordis-2.jpg",,21516,43725,1187,17237817,,,"2,000",10/17/2013 8:00:42,6/8/2012 18:47:57
TROLL,PRODUCING,Statoil,1979,1996,TROLL UNIT,NS (N),300,"211,276,800,000","165,385,734,000","45,891,066,000",Reinertsen,2015,Kaefer Energy,,,,Fixed platform,PDQ,Concrete,Semi-submersible concrete PQ (Troll B) and Semi-submersible steel PQ (Troll C),GE Oil & Gas ,,135,7,100,23,5,,,50,475,"1,330","36,000,000","226,440,000","26,040,600,000","984,900,000,000","263,800,000","1,432,800,000,000","1,500,000","27,500,000",,Pipeline,Pipeline,,Stureterminalen/ Mongstad,,HSL/BSH,Flesland,,Coast Center Base(Sotra),35,1,2,6,1,8,1,12,2,"Troll fase I er bygget ut med Troll A som er en bunnfast brønn- ­hode-­ og kompresjonsinnretning med understell av betong. Troll A blir drevet med elektrisk kraft overført fra land. Kompresjonskapasiteten for gass ble bygget ut på Troll A i 2004/2005. På Troll Øst står i tillegg Troll Oseberg Gassinjeksjon (TOGI) havbunn­ramme, der gass har blitt eksportert til Oseberg for gassinjeksjon. ",Fixed platform concrete,"TrollA-1.jpg, TrollA-2.jpg, TrollB-3.jpg, TrollB-4.jpg, TrollC-5.jpg",,41105,46437,398,17237817,,,,10/17/2013 8:00:43,6/8/2012 18:47:57
TRYM,PRODUCING,Dong E&P Norge,1990,2011,147,NS (S),65,"3,024,000,000","3,018,214,000","5,786,000",,,,,,,Subsea template,,Steel,,Aker Solutions,,2,,2,,,Harald (DK),6,1,3,"3,400","800,000","5,032,000","578,680,000","3,200,000,000","1,500,000","4,300,000,000",0,0,Pipeline,Pipeline,,,,,,,,,136,95,103,97,67,83,46,24,79,Trym er et lite gass- og kondensatfunn som ligger 3 km nær sokkelgrensen mot Danmark. Havbunnsinstallasjonen har to horisontale brønner som er knyttet til og styres fra den Mærsk opererte Harald-plattformen. Brønnstrømmen prosesseres her for videre eksport.,Subsea template,"Trym-1.jpg, Trym-2.jpg",,21988,18081500,1467,4070011,,,,5/6/2013 11:42:03,6/8/2012 18:47:57
TUNE,PRODUCING,Statoil,1996,2002,190,NS (N),95,"5,644,800,000","5,557,443,000","87,357,000",,,,,,,Subsea template,,Steel,,Aker Solutions,,5,,5,,,Oseberg D,10,4,10,"3,400",0,0,0,0,"3,300,000","18,300,000,000",0,"200,000",Pipeline,Pipeline,,Stureterminalen,*Oseberg,,,,,Mongstad,106,70,89,84,32,100,94,24,65,"Tune er et gasskondensatfelt som ligger omtrent 10 km vest for Oseberg feltsenter, i den nordlege delen av Nordsjøen. Feltet er bygget ut med en havbunnramme og en brønnsatellitt som er knyttet opp til Osebergfeltet.",Subsea template,"Tune-1.jpg, Tune-2.jpg, Tune-3.jpg",,22332,853376,2719,17237817,,,,6/8/2012 18:48:03,6/8/2012 18:47:57
TYRIHANS,PRODUCING,Statoil,1983,2009,TYRIHANS UNIT,NOS,270,"16,833,600,000","16,221,188,000","612,412,000",,,,,,,Subsea template,,Steel,,FMC,5,12,12,,,,Kristin,43,4,34,"3,500","16,500,000","103,785,000","11,935,275,000","40,900,000,000","32,400,000","41,700,000,000",0,"10,900,000",Pipeline,Pipeline,,,,,,,,Vestbase AS(Kristiansund),45,47,65,28,19,22,10,24,8,"Tyrihans ligger i Norskehavet, omtrent 25 km sørøst for Åsgardfeltet. Utbyggingsløsingen er fem havbunnrammer som er knyttet til Kristinfeltet: fire for produksjon- og gassinjeksjon og en for vanninjeksjon.",Subsea template,"Tyrihans-1.jpg, Tyrihans-2.jpg, Tyrihans-3.jpg, Tyrihans-4.jpg",,3488806,3960848,61,17237817,,,,4/19/2013 10:28:04,6/8/2012 18:47:57
ULA,PRODUCING,BP Norge,1976,1986,19,NS (S),70,"29,635,200,000","24,205,905,000","5,429,295,000",Aker Solutions,2014,BIS Industrier,2014,Archer,2013,Fixed platform,PDQ,Steel,3 x steel facilities,,,0,,,,,,,11,42,"3,345","15,700,000","98,753,000","11,356,595,000",0,"87,900,000","3,900,000,000",0,"4,000,000",Pipeline,*Injisert tilbake,,Teesside,*Injisert tilbake,,BSH,Sola,,Tananger,123,27,32,15,69,24,94,24,20,"Ula er et oljefelt som ligger i den sørlege delen av Nord­sjøen. Feltet har tre konvensjonelle stålinnretninger for produksjon-, boring- og bostedkvarter. Innretningane er knyttet sammen med broer. Brønnstrømmen fra Blane er knyttet til Ulafeltet for prosessering. Gasskapasiteten på Ula ble oppgradert i 2008 med en ny gassprosess-­ og gassinjeksjonsmodul (UGU) som doblet kapasiteten.",Fixed platform,"Ula-1.jpg, Ula-2.jpg",,20916,43800,295,2052695,,,,4/19/2013 10:28:24,6/8/2012 18:47:57
URD,PRODUCING,Statoil,2000,2005,128,NOS,380,"5,947,200,000","5,657,748,000","289,452,000",,,,,,,Subsea template,,Steel,,,3,0,,,,,Norne FPSO,10,8,15,"2,300","2,000,000","12,580,000","1,446,700,000",0,"7,000,000","200,000,000",0,0,Oil tanker,Pipeline,,,Kårstø,,,,,Harstad,7,68,77,67,108,69,94,24,79,"Urd ligger i Norskehavet like nordøst for Norne. Feltet omfatter to oljeforekomstar, 6608/10-­6 (Svale) og 6608/10-­8 (Stær).",Subsea template,"Urd-1.jpg, Urd-2.jpg",,21836,2834734,3260,17237817,,,"1,800",4/19/2013 10:29:14,6/8/2012 18:47:57
VALE,PRODUCING,Statoil,1991,2002,36,NS (M),115,"2,923,200,000","2,911,830,000","11,370,000",,,,,,,Subsea template,,Steel,,,1,1,1,,,,Heimdal,16,2,2,"3,700","1,100,000","6,919,000","795,685,000","1,300,000,000","2,400,000","2,300,000,000",0,0,,,,*Heimdal,*Heimdal,,,,,Mongstad,86,98,102,92,73,77,57,24,79,"Vale er et gasskondensatfelt som ligger 16 km nord for Heimdal, i den midtre delen av Nordsjøen. Feltet er bygget ut med en brønnramme på havbunnen, knyttet til Heimdal.",Subsea template,"Vale-1.jpg, Vale-2.jpg",,21076,1578893,1703,17237817,,,,6/8/2012 18:48:03,6/8/2012 18:47:57
VALHALL,PRODUCING,BP Norge,1975,1982,VALHALL UNIT,NS (S),70,"89,208,000,000","80,815,993,000","8,392,007,000",Aker Solutions,2014,BIS Industrier,2014,Archer,2013,Fixed platform,PDQ,Steel,,,,0,,,,,,,8,173,"2,400","41,500,000","261,035,000","30,019,025,000","6,900,000,000","147,400,000","27,500,000,000",0,"5,500,000",Pipeline,Pipeline,,Teesside,Teesside,,BSH,Sola,HSL,Tananger,123,11,24,9,24,4,35,24,17,"Valhall er et oljefelt som ligger i den sørlege delen av Nord­sjøen. Feltet blei opprinnelig bygget ut med bosted­innretning, boreinnretning og produksjonsinnretning. I 1996 blei det installert en brønnhodeinnretning (Valhall WP) med plass til 19 ekstra brønner. De fire innretningene er knyttet sammen med gangbroer. En vanninjeksjonsinnretning er installert på feltet og er knyttet sammen med Valhall WP med bro. Flankeutbyggingen omfatter to brønnhodeinnretninger, en i nord og en sør på feltet. Innretningen i sør startet produksjon i 2003, og innretningen i nord startet produksjon i 2004. Valhall behandler produksjonen frå Hod og leverer gass for gass­lyft på Hod.",Fixed platform,"Valhall-1.jpg, Valhall-2.jpg, Valhall-3.jpg, Valhall-4.jpg, Valhall-5.jpg, Valhall-6.jpg",,41657,43548,276,2052695,,,,6/8/2012 18:48:03,6/8/2012 18:47:57
VARG,PRODUCING,Talisman North Sea,1984,1998,38,NS (M),84,"9,777,600,000","9,563,369,000","214,231,000",Aker Solutions,2014,Sørco,,,,FPSO,P,Steel,1 x steel facility (D),,,0,,,,,,,7,35,"2,700","1,400,000","8,806,000","1,012,690,000","1,100,000,000","16,400,000","1,100,000,000",0,"1,000,000",Oil tanker,,,,,,BSH,Sola,,Tananger,109,56,78,44,92,76,62,24,46,"Varg er et oljefelt som ligger sør for Sleipner Øst, i den midtre delen av Nordsjøen. Feltet blir produsert med produksjonsskipet «Petrojarl Varg», som har integrert oljelager og er knyttet til brønnhodeinnretningen Varg A.",FPSO,"Varg-1.jpg, Varg-2.jpg",,21092,43451,438,2425093,,,,4/19/2013 10:31:28,6/8/2012 18:47:57
VEGA,PRODUCING,Statoil,1981,2010,VEGA UNIT,NS (N),370,"8,870,400,000","8,849,481,000","20,919,000",,,,,,,Subsea template,,Steel,,FMC,2,3,3,,,,Gjøa,55,4,9,"3,500","5,100,000","32,079,000","3,689,085,000","12,200,000,000","6,600,000","14,000,000,000",0,"2,400,000",Pipeline,Pipeline,,Mongstad,St.Fergus(GB),,,,,Florø,14,59,101,69,38,50,23,24,26,Vega ligger rett nord for Framfeltet i den nordlege delen av Nordsjøen. Feltet omfatter to separate gass-­ og kondensatforekomster; 35/8­-1 og 35/8­-2. Feltet blir bygget ut med to havbunnrammer som er knyttet til prosessinnretningen på Gjøafeltet.,Subsea template,"Vega-1.jpg, Vega-2.jpg",,20459640,4467595,205,17237817,,,,4/19/2013 10:31:48,6/8/2012 18:47:57
VEGA SØR,PRODUCING,Statoil,1987,2010,VEGA UNIT,NS (N),370,"3,124,800,000",0,"3,124,800,000",,,,,,,Subsea template,,Steel,,FMC,1,2,2,,,,Vega,10,,,"3,500",0,0,0,0,0,0,0,0,Pipeline,Pipeline,,Mongstad,St.Fergus(GB),,,,,Florø,14,93,49,114,114,100,94,24,79,Vega Sør ligger ved Framfeltet. Utbyggingsløsingen er en havbunnramme som er knyttet sammen med Vega.,Subsea template,VegaSoer-1.jpg,,20459640,4467609,893,17237817,,,,6/8/2012 18:48:03,6/8/2012 18:47:57
VESLEFRIKK,PRODUCING,Statoil,1981,1989,52,NS (N),185,"26,107,200,000","22,975,246,000","3,131,954,000",Aibel,2016,BIS Industrier,,Archer,2014,Fixed platform,D,Steel,Semi-submersible steel PQ (Veslefrikk B),,,0,,,,,,,11,64,"3,200","1,800,000","11,322,000","1,302,030,000","3,300,000,000","54,100,000","5,700,000,000",0,"2,000,000",Pipeline,Pipeline,,Stureterminalen,Kårstø / Emden,,BSH,Flesland,,Sotra & Saga fjordbase(Florø),56,32,48,22,61,71,45,24,30,"Veslefrikk er et oljefelt som ligger 30 km nord for Oseberg i den nordlige delen av Nordsjøen. Feltet er bygget ut med to innretninger, Veslefrikk A og Veslefrikk B. Veslefrikk A er en brønnhodeinnretning i stål med brosamband til Veslefrikk B. Veslefrikk B er en halvt nedsenkbar innretning med pro­sessanlegg og bostedkvarter. Innretningen ble oppgradert i 1999 for å kunne ta imot kondensat fra Huldrafeltet.",Fixed platform,"Veslefrikk-1.jpg, Veslefrikk-2.jpg, Veslefrikk-3.jpg",,21212,43618,508,17237817,,,"2,800",11/25/2013 8:38:15,6/8/2012 18:47:57
